date,Average temperature,Minimum temperature,Maximum temperature
20160101,41,-2,75
20160102,54,46,63
20160103,69,52,82
20160104,57,38,70
20160105,68,47,77
20160106,26,16,47
20160107,61,35,79
20160108,54,14,83
20160109,56,10,79
20160110,69,50,90
20160111,48,21,67
20160112,58,47,72
20160113,50,24,70
20160114,35,16,53
20160115,24,-12,40
20160116,27,-16,56
20160117,-10,-56,30
20160118,-33,-67,0
20160119,-25,-80,7
20160120, 12,-37,53
20160121,-12,-43,15
20160122,9,-22,57
20160123,66,28,90
20160124,77,50,104
20160125,107,74,146
20160126,92,66,111
20160127,109,86,124
20160128,67,49,90
20160129,85,53,100
20160130,74,51,99
20160131,68,36,108